"STN","WBAN","DAYOFMONTH","TEMP","DEWP","STP","WDSP"
690190,13910,1,68.5616666666667,60,949.9,17.9
690190,13910,2,65.7604166666667,49.9,953.3,12.8
690190,13910,3,49.795,25.6,968.6,4.3
690190,13910,4,55.47625,28.4,956.5,5.7
690190,13910,5,54.8125,34,949.2,5.5
690190,13910,6,52.8904166666667,38.2,950.7,8.7
690190,13910,7,68.4625,49.6,947.6,13.4
690190,13910,8,49.1016666666667,44.4,949.9,6
690190,13910,9,37.3345833333333,35,980.837767465842,10.2
690190,13910,10,33.57625,31.4,980.837767465842,4.8
690190,13910,11,45.5145833333333,41.2,952.8,5.4
690190,13910,12,39.0729166666667,33.3,960.3,12.6
690190,13910,13,40.3908333333333,32.1,957.6,3.5
690190,13910,14,39.5254166666667,38.8,955.7,5.2
690190,13910,15,37.4433333333333,31.6,956.2,12.4
690190,13910,16,34.1466666666667,20.6,961.1,6.3
690190,13910,17,38.6833333333333,21.8,958.6,8.4
690190,13910,18,53.09375,27.8,954.2,11
690190,13910,19,49.5129166666667,31.5,953.5,4.7
690190,13910,20,56.33,30.8,949.3,8.9
690190,13910,21,59.2141666666667,28.9,945.5,9.5
690190,13910,22,50.9029166666667,29.7,948.1,14
690190,13910,23,38.4808333333333,15.5,959.9,8.5
690190,13910,24,39.6,20.4,957.6,6.7
690190,13910,25,45.4391666666667,22.1,952.2,10.3
690190,13910,26,48.64375,27.9,949.3,10.9
690190,13910,27,35.5325,26.2,948.1,8.2
690190,13910,28,39.72375,22.4,952.8,7
690190,13910,29,39.6045833333333,19.8,954.2,7
690190,13910,30,43.3395833333333,19.2,952.6,7.9
690190,13910,31,45.8720833333333,18.6,953.5,9.6
690190,99999,1,70.6379166666667,60,980.837767465842,17.9
690190,99999,2,68.3541666666667,51.2,980.837767465842,12.7
690190,99999,3,48.04375,25.9,980.837767465842,4.7
690190,99999,4,55.3883333333333,28,980.837767465842,6
690190,99999,5,54.2733333333333,34.3,980.837767465842,5.2
690190,99999,6,52.3208333333333,38.1,980.837767465842,9
690190,99999,7,68.2795833333333,49.4,980.837767465842,13.3
690190,99999,8,53.0441666666667,44.6,980.837767465842,6
690190,99999,9,36.2770833333333,35.5,980.837767465842,10.2
690190,99999,10,33.6008333333333,31.4,980.837767465842,4.9
690190,99999,11,43.72375,41.2,980.837767465842,5.4
690190,99999,12,41.1979166666667,33.9,980.837767465842,12.9
690190,99999,13,46.4520833333333,31.8,980.837767465842,3.5
690190,99999,14,44.3520833333333,38.6,980.837767465842,5.2
690190,99999,15,37.4191666666667,32.5,980.837767465842,12.3
690190,99999,16,37.5408333333333,20.8,980.837767465842,6.5
690190,99999,17,41.58375,21.8,980.837767465842,8.2
690190,99999,18,51.56,28,980.837767465842,11.2
690190,99999,19,50.86625,31.1,980.837767465842,4.3
690190,99999,20,61.1845833333333,31.6,980.837767465842,9.2
690190,99999,21,55.0408333333333,29.1,980.837767465842,9.3
690190,99999,22,48.4866666666667,30.4,980.837767465842,14.1
690190,99999,23,35.1241666666667,15.6,980.837767465842,8.6
690190,99999,24,43.47625,20.7,980.837767465842,7
690190,99999,25,45.9779166666667,22.1,980.837767465842,9.7
690190,99999,26,47.73,28,980.837767465842,11.3
690190,99999,27,36.1916666666667,26.1,980.837767465842,8
690190,99999,28,39.95625,23.1,980.837767465842,7.1
690190,99999,29,42.53,19.9,980.837767465842,7.1
690190,99999,30,46.3008333333333,19.6,980.837767465842,7.6
690190,99999,31,44.07125,18.7,980.837767465842,9.6
720110,53983,1,68.5454166666667,66.7,976.2,8.7
720110,53983,2,75.0941666666667,63.5,976.4,5.9
720110,53983,3,50.8533333333333,27.7,993.3,4.6
720110,53983,4,53.1791596696056,32.3,983.6,1.3
720110,53983,5,54.015,39.1,973.5,1
720110,53983,6,53.2483333333333,45.7,977,4.5
720110,53983,7,70.1483333333333,61,974.6,2.6
720110,53983,8,68.17875,67.2,976.3,5.1
720110,53983,9,56.8275,63.9,978.9,5.7
720110,53983,10,43.8170833333333,40,983.2,4.8
720110,53983,11,65.4995833333333,57.9,976.4,6.6
720110,53983,12,50.48875,47.4,983.5,7.9
720110,53983,13,47.48125,39.3,983.9,2.3
720110,53983,14,52.68,50.8,979.7,3.7
720110,53983,15,47.8883333333333,45.6,978.1,9.5
720110,53983,16,36.005,24,987.9,2.5
720110,53983,17,43.78,26.9,986.7,2.4
720110,53983,18,50.7729166666667,34.7,981.8,2.3
720110,53983,19,55.7145833333333,43.1,979.7,1.1
720110,53983,20,54.7004166666667,45.1,975.1,5.7
720110,53983,21,60.2747514051044,33.8,972.7,2.3
720110,53983,22,56.2041666666667,36,973,9.1
720110,53983,23,37.2404166666667,21.8,987.9,4.5
720110,53983,24,42.0683333333333,23.5,984,1.9
720110,53983,25,42.3083333333333,28,980,3.2
720110,53983,26,49.6154166666667,41.7,973.7,8.9
720110,53983,27,45.79125,32.3,975,4
720110,53983,28,44.1675,30.7,977.8,5.6
720110,53983,29,44.1204166666667,26.4,981.1,2.3
720110,53983,30,43.8566666666667,28.9,978.6,1.8
720110,53983,31,42.8425,27.7,979,3.4
720110,99999,1,68.3991666666667,66.7,980.837767465842,8.7
720110,99999,2,73.8170833333333,63.5,980.837767465842,5.9
720110,99999,3,50.21875,27.7,980.837767465842,4.6
720110,99999,4,54.40125,32,980.837767465842,1
720110,99999,5,56.4095833333333,39.1,980.837767465842,1
720110,99999,6,59.1766666666667,45.7,980.837767465842,4.5
720110,99999,7,67.1483333333333,61,980.837767465842,2.6
720110,99999,8,69.5041666666667,67.2,980.837767465842,5.1
720110,99999,9,59.4220833333333,63.9,980.837767465842,5.7
720110,99999,10,42.7504166666667,40,980.837767465842,4.8
720110,99999,11,61.01375,57.9,980.837767465842,6.6
720110,99999,12,50.0975,47.4,980.837767465842,7.9
720110,99999,13,48.4825,39.3,980.837767465842,2.3
720110,99999,14,52.3870833333333,50.8,980.837767465842,3.7
720110,99999,15,49.0845833333333,45.6,980.837767465842,9.5
720110,99999,16,38.1875,24.5,980.837767465842,2.3
720110,99999,17,41.68625,26.9,980.837767465842,2.4
720110,99999,18,53.52875,34.7,980.837767465842,2.3
720110,99999,19,54.6391666666667,43.1,980.837767465842,1.1
720110,99999,20,56.1591666666667,45.1,980.837767465842,5.7
720110,99999,21,54.0271813775716,33.8,980.837767465842,2.3
720110,99999,22,56.3441666666667,36,980.837767465842,9
720110,99999,23,37.5029166666667,22,980.837767465842,4.5
720110,99999,24,40.5845833333333,23.6,980.837767465842,1.9
720110,99999,25,41.3841666666667,27.4,980.837767465842,3.2
720110,99999,26,49.8958333333333,41.7,980.837767465842,8.9
720110,99999,27,40.9866666666667,31.4,980.837767465842,3.9
720110,99999,28,45.0058333333333,30.7,980.837767465842,5.6
720110,99999,29,38.6283333333333,26.4,980.837767465842,2.3
720110,99999,30,44.86125,29.2,980.837767465842,1.8
720110,99999,31,46.4366666666667,27.7,980.837767465842,3.4
720151,3049,1,63.02,45.3,866.7,15
720151,3049,2,50.48625,31.6,871.8,8.6
720151,3049,3,45.3620833333333,27.1,881.5,3.7
720151,3049,4,60.6329166666667,20.7,874.4,10.3
720151,3049,5,57.5141666666667,21.6,867.3,6.9
720151,3049,6,62.7416666666667,25.3,867,7.3
720151,3049,7,66.2941666666667,29.4,867.6,10.1
720151,3049,8,59.5470833333333,28.2,867.9,8.4
720151,3049,9,50.4858333333333,34.1,869,7
720151,3049,10,46.8616666666667,36.8,868.8,3.3
720151,3049,11,54.7558333333333,40.4,866.2,9
720151,3049,12,42.0516666666667,34.1,872.5,3.6
720151,3049,13,48.19,31,871.9,4.5
720151,3049,14,52.1120833333333,31.5,866.2,9.8
720151,3049,15,41.8379166666667,13.3,870.2,8.8
720151,3049,16,39.2825,7.6,873.4,6.6
720151,3049,17,46.1833333333333,9.7,871,5.5
720151,3049,18,49.2620833333333,12.4,872.1,7.8
720151,3049,19,51.2720833333333,13.9,870.8,8.6
720151,3049,20,51.5554166666667,14.4,869.6,11
720151,3049,21,56.50375,5.7,863.7,9.3
720151,3049,22,48.7675,14,867.5,12.2
720151,3049,23,38.2341666666667,6.3,874.3,9.6
720151,3049,24,41.875,6.4,873.3,6.6
720151,3049,25,48.2508333333333,3.8,866.5,8.9
720151,3049,26,41.8995833333333,13.6,866.2,8.6
720151,3049,27,48.6525,4.1,859.6,13
720151,3049,28,36.1829166666667,0.9,867.9,6.2
720151,3049,29,45.9670833333333,2.2,867.7,6.6
720151,3049,30,45.9116666666667,12.3,869,7.7
720151,3049,31,54.3470833333333,15.2,869.5,12.5
720151,99999,1,62.2091666666667,45.3,980.837767465842,14.9
720151,99999,2,56.695,31.6,980.837767465842,8.6
720151,99999,3,40.7091666666667,27.1,980.837767465842,3.7
720151,99999,4,55.4425,20.7,980.837767465842,10.3
720151,99999,5,55.2479166666667,21.6,980.837767465842,6.9
720151,99999,6,57.13125,25.3,980.837767465842,7.3
720151,99999,7,65.3316666666667,29.4,980.837767465842,10.1
720151,99999,8,59.57625,28.2,980.837767465842,8.3
720151,99999,9,49.7925,34.1,980.837767465842,7
720151,99999,10,47.17625,36.8,980.837767465842,3.3
720151,99999,11,53.9425,40.4,980.837767465842,9
720151,99999,12,42.2229166666667,34.1,980.837767465842,3.6
720151,99999,13,43.3208333333333,31,980.837767465842,4.5
720151,99999,14,55.1808333333333,31.5,980.837767465842,9.8
720151,99999,15,43.2783333333333,13.3,980.837767465842,8.8
720151,99999,16,35.3908333333333,7.6,980.837767465842,6.6
720151,99999,17,47.22,9.7,980.837767465842,5.5
720151,99999,18,49.39,12.4,980.837767465842,7.8
720151,99999,19,52.8941666666667,13.9,980.837767465842,8.6
720151,99999,20,53.6291666666667,14.4,980.837767465842,10.9
720151,99999,21,55.6666666666667,5.7,980.837767465842,9.3
720151,99999,22,45.3670833333333,14,980.837767465842,12.2
720151,99999,23,37.8320833333333,6.3,980.837767465842,9.6
720151,99999,24,40.5279166666667,6.4,980.837767465842,6.6
720151,99999,25,52.5445833333333,3.8,980.837767465842,8.9
720151,99999,26,44.0858333333333,13.6,980.837767465842,8.6
720151,99999,27,48.01125,4.1,980.837767465842,12.9
720151,99999,28,35.8829166666667,0.9,980.837767465842,6.2
720151,99999,29,45.8416666666667,2.2,980.837767465842,6.6
720151,99999,30,44.1758333333333,12.3,980.837767465842,7.7
720151,99999,31,55.5391666666667,15.2,980.837767465842,12.4
720261,53976,1,63.37,56.7,986,11.4
720261,53976,2,65.5466666666667,53.1,985.4,10.1
720261,53976,3,41.0816666666667,22.3,1002.9,4.3
720261,53976,4,51.4795833333333,25.3,990.1,2
720261,53976,5,53.9745833333333,32.8,981.8,3.5
